name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Pathaan Sir,Yes,No,3.8,89,Frazer Town,Quick Bites,"Rolls, Fries, Egg Roll","Fast Food, Rolls, Momos",250.0,Dine-out,Frazer Town
The Bong,Yes,No,3.1,38,Frazer Town,Quick Bites,Biryani,"Bengali, North Indian",300.0,Dine-out,Frazer Town
Tayabbs,Yes,No,3.0,9,Frazer Town,Quick Bites,Biryani,"Rolls, North Indian, Fast Food",500.0,Dine-out,Frazer Town
Penta Cafe,Yes,No,3.5,12,Frazer Town,Quick Bites,Biryani,"Juices, Fast Food, Beverages",350.0,Dine-out,Frazer Town
Ganesh Food Joint,Yes,No,3.7,30,Frazer Town,Quick Bites,Biryani,"South Indian, North Indian, Chinese",200.0,Dine-out,Frazer Town
South Inn,Yes,No,3.1,24,Frazer Town,Quick Bites,Biryani,South Indian,150.0,Dine-out,Frazer Town
Arina's,No,No,3.3,5,Frazer Town,Quick Bites,Biryani,"Fast Food, Chinese",250.0,Dine-out,Frazer Town
Five Star Chicken,No,No,3.3,12,Frazer Town,Quick Bites,Biryani,"Roast Chicken, Burger",300.0,Dine-out,Frazer Town
Pooja Veg,Yes,No,3.1,9,Frazer Town,Quick Bites,Biryani,South Indian,100.0,Dine-out,Frazer Town
Chote Miya,No,No,3.6,16,Frazer Town,Quick Bites,Biryani,"Mughlai, Biryani, Rolls",500.0,Dine-out,Frazer Town
Halli Mane Food Court,No,No,3.5,11,Frazer Town,Quick Bites,Biryani,South Indian,100.0,Dine-out,Frazer Town
Al Sadique Restaurant,No,No,3.5,31,Frazer Town,Quick Bites,Biryani,"Mughlai, North Indian, Street Food",350.0,Dine-out,Frazer Town
Lychees Restaurant,No,No,3.2,53,Frazer Town,Quick Bites,Biryani,Fast Food,400.0,Dine-out,Frazer Town
New Taj Biryani Centre,No,No,3.5,17,Frazer Town,Quick Bites,Biryani,"Biryani, South Indian",350.0,Dine-out,Frazer Town
Sapthagiri's Naidu Eating Point,No,No,3.4,5,Frazer Town,Quick Bites,Biryani,Biryani,300.0,Dine-out,Frazer Town
Sri Devi Cafe,No,No,3.7,33,Frazer Town,Quick Bites,Biryani,"South Indian, Chinese",200.0,Dine-out,Frazer Town
Mini Fast Food,No,No,3.1,11,Frazer Town,Quick Bites,Biryani,"Fast Food, Chinese",150.0,Dine-out,Frazer Town
New Prashanthi Donne Biryani,No,No,3.3,6,Frazer Town,Quick Bites,Biryani,Biryani,300.0,Dine-out,Frazer Town
Just One More,No,No,3.4,18,Frazer Town,Quick Bites,Biryani,"South Indian, Street Food",200.0,Dine-out,Frazer Town
Faasos,No,No,4.1,38,Frazer Town,Quick Bites,"Rolls, Veggie Wrap, Chicken Wrap, Kheer","North Indian, Biryani, Fast Food",500.0,Dine-out,Frazer Town
The French Loaf,Yes,No,2.8,142,Frazer Town,"Bakery, Quick Bites","Coffee, Pasta, Sandwiches, Sunday Breakfast, Apple Pie, Hot Chocolate, Chicken Quiche","Bakery, Desserts",300.0,Dine-out,Frazer Town
Subway,No,No,3.6,74,Frazer Town,Quick Bites,"Sandwich, Salad","Salad, Fast Food",600.0,Dine-out,Frazer Town
RS Shiv Sagar,No,No,4.1,530,Commercial Street,Casual Dining,"Brownie, Paneer Manchurian, Chocolate Sizzler, Nachos, Filter Coffee, Panneer Butter Masala, Pizza","Chinese, North Indian, Fast Food, Street Food, Desserts",500.0,Dine-out,Frazer Town
Hamza,No,No,3.9,161,Shivajinagar,Casual Dining,"Ghee Rice, Biryani, Chicken Kebab, Mutton Seekh, Paratha","North Indian, Chinese",500.0,Dine-out,Frazer Town
Tiger Trail - Ramada Hotel,Yes,Yes,4.0,188,Shivajinagar,"Casual Dining, Bar","Biryani, Custard, Paratha, Poha, Breakfast Buffet, Thali, Dal Makhani","North Indian, Lucknowi",1300.0,Dine-out,Frazer Town
Utse Kitchen,Yes,No,4.2,175,Commercial Street,Casual Dining,"Momos, Thukpa, Noodles, Nepali Thali, Chicken Momo, Chilli Momo","Nepalese, Tibetan, Momos",800.0,Dine-out,Frazer Town
New Hilal Restaurant,Yes,No,4.0,108,Shivajinagar,Casual Dining,"Ghee Rice, Butter Chicken, Hyderabadi Chicken, Methi Murg, Bheja Fry, Chicken Kebab, Tandoori Chicken","North Indian, Chinese, Mughlai",550.0,Dine-out,Frazer Town
Taj Hotel,Yes,No,3.7,110,Shivajinagar,Casual Dining,"Ghee Rice, Mutton Biryani, Seekh Kebab, Paratha, Tandoori Chicken, Kalmi Kebab","North Indian, Chinese",550.0,Dine-out,Frazer Town
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© MH-28,Yes,No,3.4,9,Shivajinagar,Cafe,Biryani,Cafe,300.0,Dine-out,Frazer Town
Al Noor,No,No,3.8,22,Shivajinagar,Quick Bites,Biryani,"North Indian, Chinese, Arabian, Rolls",350.0,Dine-out,Frazer Town
Kamat Hotel,No,No,3.6,60,Shivajinagar,Casual Dining,"Paper Masala Dosa, Coffee","North Indian, South Indian, Chinese",450.0,Dine-out,Frazer Town
Imperial Restaurant,Yes,No,2.9,238,Shivajinagar,Casual Dining,"Biryani, Shawarma, Ghee Rice, Chicken Grill, Sulemani Chai, Chicken Manchurian, Methi Murg","North Indian, Chinese, Biryani, Kebab, Juices",800.0,Dine-out,Frazer Town
Woody's,No,No,2.5,433,Commercial Street,Casual Dining,"Maddur Vada, Idli, Thali, Tea, Butter Masala Dosa, Filter Coffee, Cheese Dosa","Chinese, South Indian, North Indian",650.0,Dine-out,Frazer Town
Konark Vegetarian Restaurant,No,No,4.1,407,Commercial Street,Casual Dining,"Badam Halwa, Carrot Halwa, Panneer Butter Masala, Filter Coffee, Vegetarian, Manchurian, Masala Buttermilk","North Indian, Chinese, South Indian",700.0,Dine-out,Frazer Town
Tewari Bros Mithai Shoppie,Yes,No,3.8,59,Commercial Street,Sweet Shop,"Dhokla, Raj Kachori, Rabri","Fast Food, Mithai",300.0,Dine-out,Frazer Town
Shaadi Ki Biryani,Yes,No,2.8,296,Commercial Street,Casual Dining,"Mutton Biryani, Brinjal Curry, Chicken Biryani, Kheer, Hyderabadi Biryani, Raita, Kebab Platter",Biryani,600.0,Dine-out,Frazer Town
MM Bar & Restaurant,No,No,3.4,6,Shivajinagar,Bar,Biryani,"South Indian, North Indian",700.0,Dine-out,Frazer Town
Mughals Restaurant,No,No,3.2,17,Shivajinagar,Casual Dining,Biryani,"Mughlai, North Indian, Chinese, Biryani, Seafood",550.0,Dine-out,Frazer Town
Norsha Caffe,Yes,No,3.3,6,Commercial Street,Cafe,Biryani,Cafe,400.0,Dine-out,Frazer Town
Murugan Mess,No,No,3.3,7,Shivajinagar,Mess,Biryani,South Indian,150.0,Dine-out,Frazer Town
Petoo,No,No,3.7,32,Commercial Street,Casual Dining,Biryani,"North Indian, Fast Food, Street Food",800.0,Dine-out,Frazer Town
New Kohinoor Hotel,No,No,3.2,9,Commercial Street,Casual Dining,Biryani,North Indian,450.0,Dine-out,Frazer Town
Malabar Kitchen,Yes,No,3.2,5,Commercial Street,Quick Bites,Biryani,"Kerala, North Indian, Chinese",300.0,Dine-out,Frazer Town
Bhagatram Sweets,No,No,3.6,223,Commercial Street,Quick Bites,"Gulab Jamun, Chaat, Jalebi, Samosa, Chole, Sev Puri, Rasgulla","Street Food, Mithai",300.0,Dine-out,Frazer Town
Sri Saravana Bhavan,No,No,3.9,75,Commercial Street,Quick Bites,"Filter Coffee, Idli",South Indian,150.0,Dine-out,Frazer Town
Burger King,Yes,No,3.9,645,Commercial Street,Quick Bites,"Burgers, Chicken Tandoori Grill Burger, Cheesy Chicken Fries, Chicken Whopper, Whopper Burger, Tandoor Chicken Burger, Mutton Whopper","Burger, Fast Food, Beverages",600.0,Dine-out,Frazer Town
Haji Ali Juice Centre,Yes,No,4.0,78,Commercial Street,"Quick Bites, Beverage Shop","Sandwiches, Rose Faluda, Pizza, Custard Apple Cream, Pav Bhaji","Fast Food, Pizza, Rolls, Beverages, Juices",350.0,Dine-out,Frazer Town
Chickpet Donne Biryani House,Yes,No,3.7,45,Commercial Street,Quick Bites,Biryani,Biryani,250.0,Dine-out,Frazer Town
Vishnu Sagar,No,No,3.0,33,Commercial Street,Quick Bites,"Pav Bhaji, Panipuri, Chaat","South Indian, Chinese, North Indian",400.0,Dine-out,Frazer Town
McDonald's,Yes,No,2.7,92,Commercial Street,Quick Bites,"Burgers, Peri Peri Fries","Burger, Fast Food",500.0,Dine-out,Frazer Town
Shivajinagar Gardi Ustad Pehlwan Kale Bhai Biryani,No,No,3.6,26,Shivajinagar,Quick Bites,Biryani,Biryani,300.0,Dine-out,Frazer Town
Shilpa Veg,No,No,3.6,37,Shivajinagar,Quick Bites,Biryani,"South Indian, Street Food, Beverages, Desserts",250.0,Dine-out,Frazer Town
Hotel Metropole,No,No,2.9,18,Shivajinagar,Quick Bites,Biryani,"North Indian, Chinese, South Indian",400.0,Dine-out,Frazer Town
The Grand Taj,Yes,No,3.2,35,Shivajinagar,Quick Bites,Biryani,"North Indian, Chinese",350.0,Dine-out,Frazer Town
Ram Prasad Veg,No,No,3.6,14,Shivajinagar,Quick Bites,Biryani,South Indian,150.0,Dine-out,Frazer Town
North Indian Hotel,No,No,3.5,11,Shivajinagar,Quick Bites,Biryani,North Indian,200.0,Dine-out,Frazer Town
Royal Restaurant,No,No,3.2,7,Shivajinagar,Quick Bites,Biryani,"North Indian, Chinese",200.0,Dine-out,Frazer Town
Chaitanya Veg,Yes,No,3.2,5,Shivajinagar,Quick Bites,Biryani,South Indian,300.0,Dine-out,Frazer Town
Indy's Comfort Food,No,No,4.1,399,Shivajinagar,Quick Bites,"Gobhi Pakoda, Bajji, Raita, Ginger Tea, Jalapeno Cheese Poppers, Mojito, Chai","North Indian, Beverages, Fast Food",300.0,Dine-out,Frazer Town
Sri Rama,No,No,3.2,4,Shivajinagar,Quick Bites,Biryani,South Indian,200.0,Dine-out,Frazer Town
K V Canteen,No,No,3.5,17,Commercial Street,Quick Bites,Biryani,South Indian,100.0,Dine-out,Frazer Town
Cool Joint,No,No,3.6,25,Commercial Street,Quick Bites,Biryani,"Beverages, Desserts",250.0,Dine-out,Frazer Town
Delhi Bhavan,No,No,3.4,11,Commercial Street,Quick Bites,Biryani,"Street Food, Mithai",150.0,Dine-out,Frazer Town
Hotel Kanchan's Fish & Chicken,No,No,3.3,4,Shivajinagar,Quick Bites,Biryani,"South Indian, Chinese",250.0,Dine-out,Frazer Town
Kanis Kitchen,No,No,3.6,14,Shivajinagar,Quick Bites,Biryani,South Indian,250.0,Dine-out,Frazer Town
Hotel Ashoka,No,No,3.7,10,Shivajinagar,Quick Bites,Biryani,South Indian,200.0,Dine-out,Frazer Town
Sagar Chats,No,No,3.8,38,Commercial Street,Quick Bites,"Pav Bhaji, Chaat, Masala Poori, Panipuri, Dahipuri, Sev Puri, Sandwiches","Chinese, Beverages, Street Food",300.0,Dine-out,Frazer Town
Hotel Vinitha,No,No,3.2,5,Shivajinagar,Quick Bites,Biryani,"South Indian, North Indian, Chinese",150.0,Dine-out,Frazer Town
Sultan Shah's Restaurant,No,No,3.2,9,Shivajinagar,Quick Bites,Biryani,North Indian,200.0,Dine-out,Frazer Town
New A1 Chicken Biryani Point,No,No,3.1,6,Shivajinagar,Quick Bites,Biryani,Biryani,300.0,Dine-out,Frazer Town
MDP Coffee House,No,No,3.5,13,Commercial Street,Quick Bites,Biryani,South Indian,200.0,Dine-out,Frazer Town
Bharathi Dosa Camp,No,No,3.2,7,Commercial Street,Quick Bites,Biryani,South Indian,100.0,Dine-out,Frazer Town
Galaxy 2 Restaurant,No,No,3.2,4,Shivajinagar,Quick Bites,Biryani,"North Indian, Chinese, Kerala, Arabian",400.0,Dine-out,Frazer Town
Hammered,Yes,Yes,4.7,4678,Cunningham Road,"Pub, Cafe","Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails","North Indian, Thai, Japanese, Continental, Cafe",1300.0,Dine-out,Frazer Town
Caraway Kitchen - Conrad Bengaluru,No,Yes,4.3,153,Ulsoor,Fine Dining,"Pasta, Pizza, Pancakes, Fish, Salads, Chaat","American, Continental, North Indian, South Indian",2800.0,Dine-out,Frazer Town
Cafe Azzure,Yes,Yes,4.3,2671,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger",1200.0,Dine-out,Frazer Town
Samarkand,No,Yes,4.1,2047,Infantry Road,Casual Dining,"Hyderabadi Biryani, Firni, Kulfi, Lassi, Mutton Biryani, Gosht Dum Biryani, Raan","North Indian, Mughlai",1600.0,Dine-out,Frazer Town
Carnatic,No,Yes,4.2,170,Church Street,Casual Dining,"Guntur Chicken Biryani, Thali, Andhra Chilli Chicken, Raita, Kothu Paratha, Coconut Mousse, Appam","South Indian, Kerala, Andhra, Biryani, Chettinad, Konkan, Mangalorean",1000.0,Dine-out,Frazer Town
1Q1,No,Yes,4.3,597,Infantry Road,"Casual Dining, Bar","Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Salad","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",2500.0,Dine-out,Frazer Town
Tiamo - Conrad Bengaluru,No,Yes,4.2,141,Ulsoor,Fine Dining,"Ratatouille, Pizza, Tiramisu, Pasta, Wild Mushroom Risotto, Cocktails","Italian, Mediterranean",2500.0,Dine-out,Frazer Town
Millers 46,No,Yes,4.4,2266,Vasanth Nagar,Casual Dining,"Steak, Chicken Wings, Burgers, Bacon Burger, Cocktails, Lime Soda, Chicken Burger","American, Continental, Steak",1100.0,Dine-out,Frazer Town
Eden Park,Yes,Yes,4.1,617,Cunningham Road,Casual Dining,"Pasta, Bamboo Biryani, Noodles, Chicken Guntur, Andhra Meal, Andhra Style Biryani, Babycorn Manchurian","Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",1100.0,Dine-out,Frazer Town
Watson's,No,Yes,4.2,1428,Ulsoor,Pub,"Beer, Mocktails, Cocktails, Margherita Pizza, Supreme Pizza, Fish Chilli, Margarita","Finger Food, North Indian",1300.0,Dine-out,Frazer Town
Pasta Street,Yes,Yes,4.5,1623,Cunningham Road,Casual Dining,"Pasta, Pizza, Garlic Bread, Wine, Salad, Salads, Ravioli","Italian, Pizza, Salad",1300.0,Dine-out,Frazer Town
BBQ@52,No,Yes,3.7,41,MG Road,Casual Dining,Biryani,"BBQ, Biryani, Continental",1500.0,Dine-out,Frazer Town
Naachiyar's,Yes,No,3.9,117,Ulsoor,Casual Dining,"Crab Soup, Raita, Kozhi Biryani, Mutton Biryani",Chettinad,600.0,Dine-out,Frazer Town
Carnival de Goa,Yes,Yes,4.2,982,Ulsoor,"Casual Dining, Bar","Sea Food, Spicy Crab Soup, Cocktails, Squid Fry, Prawn Curry, Lobster, Fish Curry","Goan, Mangalorean, Pizza",1000.0,Dine-out,Frazer Town
Ente Keralam,Yes,No,4.0,1098,Ulsoor,Casual Dining,"Appam, Fish, Mutton Stew, Cocktails, Egg Roast, Prawn Curry, Chicken Stew","Kerala, Seafood",1300.0,Dine-out,Frazer Town
The Culinarium,No,No,4.0,25,Vasanth Nagar,"Cafe, Dessert Parlor",Biryani,"Cafe, Desserts, Beverages",1100.0,Dine-out,Frazer Town
Dolci Desserts,Yes,No,4.3,654,Cunningham Road,"Cafe, Dessert Parlor","Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu","Cafe, Desserts",750.0,Dine-out,Frazer Town
Republic Of Noodles - Lemon Tree Premier,No,Yes,4.5,550,Ulsoor,Casual Dining,"Noodles, Kaffir Lime, Spring Roll, Long Island Iced Tea, Yellow Thai Curry, Vanilla Ice Cream, Jasmine Rice","Malaysian, Singaporean, Thai",1800.0,Dine-out,Frazer Town
Cafe Kaara,No,No,4.2,164,Ulsoor,Cafe,"Coffee, Cappuccino, Sandwich, Tiramisu, Hot Chocolate, Pasta, Fries","Cafe, Salad, Desserts, Pizza",750.0,Dine-out,Frazer Town
Skoolroom,Yes,No,4.3,570,Ulsoor,Cafe,"Chocolate Overload, Burgers, Pasta, Peri Peri Chicken Pizza, Peri Peri Chicken Burger, Momos, Freak Shake","Cafe, Continental, Italian, Burger, Beverages",700.0,Dine-out,Frazer Town
Benjarong,Yes,No,4.2,858,Ulsoor,Casual Dining,"Tom Yum Soup, Cocktails, Jasmine Rice, Clear Soup, Sea Food, Pad Thai, Lemongrass Tea","Thai, Asian",1800.0,Dine-out,Frazer Town
Mikusu - Conrad Bengaluru,No,Yes,4.1,80,Ulsoor,Fine Dining,"Sushi, Noodles","Japanese, Chinese, Thai",3000.0,Dine-out,Frazer Town
Skylit - Citrus Hotels,No,Yes,4.0,324,Cunningham Road,Lounge,"Gulab Jamun, Sea Food, Bruschettas, Paneer Tikka, Gajar Halwa, Shahi Tukda, Biryani","North Indian, Mughlai, Mediterranean",1300.0,Dine-out,Frazer Town
Banjara Melting Pot,Yes,Yes,4.2,475,Cunningham Road,Casual Dining,"Lamb Curry, Cocktails, Neer Dosa, Veg Starter, Prawn Ghee Roast, Chicken Biryani, Mocktails","North Indian, Chinese, Seafood",1700.0,Dine-out,Frazer Town
Step Right Up,Yes,No,4.1,153,Vasanth Nagar,Cafe,"Burgers, Peri Peri Fries, Exotic Pizza, Sandwiches, Veggie Pizza, White Sauce Pasta, French Fries","Cafe, Italian",300.0,Dine-out,Frazer Town
Slo' Food Co.2,No,No,3.7,42,Ulsoor,Casual Dining,Biryani,"European, North Indian, South Indian, Seafood, Salad, Asian, Grill",2000.0,Dine-out,Frazer Town
Shezan,Yes,No,4.1,391,Cunningham Road,Casual Dining,"Mudpie, Butter Naan, Mutton Biryani, Kulfi, Steak, Sweet Corn Soup, Beef Chilli","Chinese, Continental, North Indian, Mughlai, Steak",600.0,Dine-out,Frazer Town
The Grill House,Yes,Yes,4.1,765,Ulsoor,"Casual Dining, Bar","Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff","American, Mexican, Italian, Steak",1200.0,Dine-out,Frazer Town
Infinitea Tea Room & Tea Store,Yes,Yes,4.3,860,Cunningham Road,"Casual Dining, Cafe","Tea, Momos, Tiramisu, Sandwiches, Pesto Pasta, Sandwich, Chips","Continental, Cafe, Desserts, Salad, Momos",1000.0,Dine-out,Frazer Town
Mudpipe Cafe,Yes,No,4.2,740,Cunningham Road,Cafe,"Sandwiches, Lemonade, Nachos, Mozzarella Sticks, Fries, Pasta, Pizza","Cafe, Continental, Italian, Burger",750.0,Dine-out,Frazer Town
Xpress Biryani,Yes,No,4.3,148,Ulsoor,Casual Dining,"Butter Chicken Biryani, Gulab Jamun, Chicken Afghani Biryani, Chicken Tikka Biryani, Dal Bukhara, Hara Bhara Kebab, Mutton Keema","Biryani, North Indian, Kebab",650.0,Dine-out,Frazer Town
Teppan Japanese Grill & Sushi Bar,Yes,No,4.3,904,Ulsoor,Casual Dining,"Maki Roll, Jumbo Prawns, Fish, Rolls, Sashimi, Miso Soup, Maki Sushi",Japanese,2000.0,Dine-out,Frazer Town
Indian Durbar - Conrad Bengaluru,No,Yes,3.9,49,Ulsoor,Fine Dining,Biryani,North Indian,3000.0,Dine-out,Frazer Town
Ging - Royal Orchid Central,Yes,Yes,4.3,226,MG Road,"Bar, Casual Dining","Paneer Satay, Beer, Creme Brulee, Crispy Prawns",Asian,2000.0,Dine-out,Frazer Town
Mani's Dum Biryani,Yes,No,4.0,176,Ulsoor,Casual Dining,"Chicken Biryani, Vegetable Biryani, Raita","Biryani, Kebab",750.0,Dine-out,Frazer Town
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,Yes,No,3.9,462,Ulsoor,"Cafe, Casual Dining","Chocolate Shake, Wine, Burgers, Sangria, Paratha, Pasta, Fish","Cafe, American, Continental, Steak",800.0,Dine-out,Frazer Town
Smally's Resto Cafe,Yes,Yes,4.1,1852,Ulsoor,Cafe,"Burgers, Sandwiches, Salads, Disco Chicken, Beef Steak, Wedges, Peri Chicken","Cafe, Italian, Burger, American, Steak",650.0,Dine-out,Frazer Town
Peppa Zzing,Yes,No,4.3,1133,Infantry Road,Cafe,"Burgers, Pasta, Cheesy Fries, Beef Burger, Ice Tea, Steak Burger, Lamb","Cafe, Fast Food, Burger",800.0,Dine-out,Frazer Town
Citrus Cafe - Lemon Tree Premier,No,No,3.9,183,Ulsoor,Casual Dining,"Lunch Buffet, Breakfast Buffet, Salads, Chips, Pasta, Omelette","North Indian, Continental, South Indian",2200.0,Dine-out,Frazer Town
Cafe Imroze,Yes,No,3.6,95,Infantry Road,"Cafe, Casual Dining","Pasta, Burgers, Fries, Bbq Chicken Pizza, Peri Peri Chicken Pizza, Bbq Burger, Nachos","Cafe, Burger, Italian, Fast Food",650.0,Dine-out,Frazer Town
Ramana's,Yes,Yes,4.0,378,Cunningham Road,Casual Dining,"Palak Soup, Mushroom Masala, Dal Makhani, Kebab Platter, Jal-jeera, Mushroom Soup, Roti","North Indian, Chinese, Healthy Food",850.0,Dine-out,Frazer Town
The Souk,Yes,No,3.7,66,Ulsoor,Cafe,"Mediterranean Platter, Brownie, Pasta, Burgers, Cheesy Garlic Bread, Steak","Cafe, Mediterranean, Italian, Pizza, Continental",800.0,Dine-out,Frazer Town
Marzipan Cafe & Bakery,Yes,No,4.2,432,Ulsoor,"Cafe, Bakery","Coffee, Cheesecake, Chicken Baguette, Pasta, Mudcake, Wedges, Hot Chocolate","Cafe, Mediterranean, Bakery, Greek, Beverages",700.0,Dine-out,Frazer Town
Red Lantern,Yes,No,3.7,161,Cunningham Road,Casual Dining,"Noodles, Phad Thai, Sweet Corn Soup, Chop Suey","Chinese, Thai",700.0,Dine-out,Frazer Town
Cafe Cassia& Deli,No,No,4.2,115,Ulsoor,"Casual Dining, Cafe","Coffee, Pasta, Tea","Lebanese, Mediterranean, Cafe",1000.0,Dine-out,Frazer Town
WYT RestroPub,No,No,2.7,402,MG Road,Pub,"Tandoori Chicken, Onion Rings, Masala Peanuts, Draught Beer, Panneer Butter Masala, Cocktails","North Indian, Chinese",1000.0,Dine-out,Frazer Town
Chung's Chinese Corner,Yes,No,3.3,200,Cunningham Road,Casual Dining,"Noodles, Honey Chilli Chicken, Crispy Chilli Chicken",Chinese,700.0,Dine-out,Frazer Town
Ta'aam,Yes,No,4.1,402,Cunningham Road,Casual Dining,"Laham Mandi, Mutton Chops, Biryani, Mutton Soup, Naan, Paneer Tikka, Jeera Rice","North Indian, Mughlai, Arabian, Chinese",750.0,Dine-out,Frazer Town
Zodiac - Fortune Select JP Cosmos Hotel,Yes,Yes,3.8,91,Cunningham Road,Casual Dining,"Salads, Biryani, Chicken Salad, Lunch Buffet, Breakfast Buffet, Fish, Panipuri","North Indian, South Indian, Chinese, Continental",1800.0,Dine-out,Frazer Town
Vijaya Gardenia,Yes,No,3.4,63,Banaswadi,Casual Dining,"Naan, Sea Food, Biryani, Lime Soda","North Indian, Chinese, Andhra",500.0,Dine-out,Frazer Town
Hotel Chandrika,Yes,No,3.8,207,Cunningham Road,Casual Dining,"Thali, Filter Coffee, Vada, Rava Idli, Masala Dosa, Stuffed Kulcha, Naan","South Indian, North Indian, Chinese, Street Food",400.0,Dine-out,Frazer Town
Sagar Delicacy,Yes,No,3.9,87,Ulsoor,Casual Dining,"Handi Biryani, Sandwich","North Indian, Chinese, Fast Food, Street Food",500.0,Dine-out,Frazer Town
Pinxx - Royal Orchid Central,Yes,Yes,3.8,198,MG Road,Casual Dining,"Mutton Biryani, Salads, Fish, Sandwiches, Breakfast Buffet, Cheesecake","Italian, European",1600.0,Dine-out,Frazer Town
New Prashanth Naati Style,No,No,3.8,29,Cunningham Road,Quick Bites,Biryani,"South Indian, Biryani",400.0,Dine-out,Frazer Town
CAMP TANDOOR,Yes,No,3.7,15,Ulsoor,Quick Bites,Biryani,North Indian,300.0,Dine-out,Frazer Town
Bangalore Masala House,Yes,No,4.2,255,Vasanth Nagar,Cafe,"Peri Peri Chicken, Shikanji, Peri Peri Pizza, Burgers, Steak, Bun Maskas, Pasta","Cafe, Continental, Fast Food",500.0,Dine-out,Frazer Town
Amritsari Kulcha Bite,Yes,No,3.9,104,Ulsoor,Quick Bites,"Lassi, Amritsari Kulcha, Chole",North Indian,150.0,Dine-out,Frazer Town
Retreat Restaurant,Yes,No,3.5,86,RT Nagar,Casual Dining,"Tandoori Chicken, Ghee Rice, Dal Fry","Chinese, North Indian",500.0,Dine-out,Frazer Town
Maratha Darshan,No,No,4.0,107,Cunningham Road,Quick Bites,"Biryani, Buttermilk, Mutton Curry, Thali, Mutton Fry","Maharashtrian, North Indian",400.0,Dine-out,Frazer Town
Slounge - Lemon Tree Premier,No,No,4.0,62,Ulsoor,Lounge,Pool Table,Finger Food,1500.0,Dine-out,Frazer Town
A2B - Adyar Ananda Bhavan,Yes,No,3.6,42,Ulsoor,Casual Dining,"Thali, Pongal, Masala Dosa","South Indian, North Indian, Chinese, Street Food, Fast Food",400.0,Dine-out,Frazer Town
Shanthi Sagar,Yes,No,4.1,205,Ulsoor,Quick Bites,"Coffee, Roti, Vada Pav","South Indian, North Indian, Chinese, Juices",250.0,Dine-out,Frazer Town
Al-Baik Tandoori Restaurant,Yes,No,3.6,113,Nagawara,Quick Bites,Biryani,"North Indian, Chinese, Arabian, Biryani, Rolls",450.0,Dine-out,Frazer Town
Hotel Fine,Yes,No,3.5,24,Vasanth Nagar,Casual Dining,Biryani,"North Indian, Chinese",450.0,Dine-out,Frazer Town
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.2,382,Ulsoor,Cafe,"Wedges, Maggi, Burgers, Waffles, Margherita Pizza, Aam Panna, Tea","Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500.0,Dine-out,Frazer Town
Hatti Kaapi,Yes,No,3.8,31,Ulsoor,Quick Bites,Biryani,"South Indian, Beverages",200.0,Dine-out,Frazer Town
Grand Spicy Restaurant,No,No,3.6,34,Cunningham Road,Casual Dining,Biryani,"North Indian, Mughlai, Chinese",700.0,Dine-out,Frazer Town
Chetty's Coffee,Yes,No,3.7,18,MG Road,Quick Bites,Biryani,South Indian,200.0,Dine-out,Frazer Town
Knowhere,No,No,3.8,52,Banaswadi,Bar,Biryani,"Continental, Finger Food",1300.0,Dine-out,Frazer Town
Ujwal Restaurant,Yes,No,3.9,134,Vasanth Nagar,Casual Dining,"Tender Coconut Chicken, Sea Food, Paneer Pakora, Chicken Biryani, Kori Roti, Fish Fry, Beer","Seafood, North Indian, Chinese",550.0,Dine-out,Frazer Town
Xian,Yes,Yes,3.8,81,Ulsoor,Casual Dining,Noodles,"Chinese, Thai",800.0,Dine-out,Frazer Town
Soul Cafe,No,Yes,3.9,315,MG Road,Cafe,"Mocktails, Peri Peri Chicken, Coffee Hazelnut, Oreo Shake, Nachos, White Sauce Pasta, Beer","Cafe, Continental, Italian",800.0,Dine-out,Frazer Town
Gobble Up Churros Cafe,Yes,No,3.8,37,Ulsoor,Casual Dining,"Churros, Empanadas","Beverages, Cafe, Desserts, Spanish, Bakery",400.0,Dine-out,Frazer Town
Bangalore Shadi Biriyani,Yes,No,3.5,57,Vasanth Nagar,Quick Bites,Biryani,"Chinese, North Indian",150.0,Dine-out,Frazer Town
The Lobby Brew - Conrad Bengaluru,No,Yes,3.8,25,Ulsoor,Cafe,Biryani,"Cafe, North Indian, Fast Food",2200.0,Dine-out,Frazer Town
